parcelle;zone;date;time;sequence;ins-7;pl-7;hr-7;t-7;s;ac;ac_m;var_s;var_ac;var_ac_m
BLO;anjou;06/09/1999;4.0;23.0;71.2;0.0;65.5;20.45;180.5;7.85;6.54;NA;NA;NA
BLO;anjou;13/09/1999;5.0;23.0;48.1;62.0;72.07;20.157142857142897;196.5;5.9;4.04;16.0;-1.9499999999999993;-2.5
BLO;anjou;20/09/1999;6.0;23.0;32.6;20.0;77.79;16.0428571428571;196.5;5.45;3.98;0.0;-0.4500000000000002;-0.06000000000000005
BON;anjou;13/09/1999;1.0;24.0;48.1;62.0;72.07;20.157142857142897;222.9;4.97;2.68;NA;NA;NA
BON;anjou;20/09/1999;2.0;24.0;32.6;20.0;77.79;16.0428571428571;225.2;4.86;2.84;2.299999999999983;-0.10999999999999943;0.1599999999999997
BON;anjou;27/09/1999;3.0;24.0;29.4;45.5;82.36;18.1357142857143;227.6;4.52;2.67;2.4000000000000057;-0.34000000000000075;-0.16999999999999993
BON;anjou;04/10/1999;4.0;24.0;31.6;61.5;84.07;15.157142857142901;235.8;4.11;2.21;8.200000000000017;-0.40999999999999925;-0.45999999999999996
BON;anjou;12/10/1999;5.0;24.0;35.2;0.5;82.64;13.557142857142901;246.4;4.46;2.82;10.599999999999994;0.34999999999999964;0.6099999999999999
BON;anjou;18/10/1999;6.0;24.0;19.8;13.0;90.79;13.021428571428599;227.6;4.64;2.61;-18.80000000000001;0.17999999999999972;-0.20999999999999996
BOR;anjou;13/09/1999;1.0;25.0;48.1;62.0;72.07;20.157142857142897;196.5;6.39;4.88;NA;NA;NA
BOR;anjou;20/09/1999;2.0;25.0;32.6;20.0;77.79;16.0428571428571;196.5;6.12;5.18;0.0;-0.2699999999999996;0.2999999999999998
BOR;anjou;27/09/1999;3.0;25.0;29.4;45.5;82.36;18.1357142857143;196.5;5.51;4.46;0.0;-0.6100000000000003;-0.7199999999999998
BOR;anjou;04/10/1999;4.0;25.0;31.6;61.5;84.07;15.157142857142901;207.9;5.23;3.69;11.400000000000006;-0.27999999999999936;-0.77
BOR;anjou;12/10/1999;5.0;25.0;35.2;0.5;82.64;13.557142857142901;218.3;5.35;4.38;10.400000000000006;0.11999999999999922;0.69
BOR;anjou;18/10/1999;6.0;25.0;19.8;13.0;90.79;13.021428571428599;214.8;6.02;4.47;-3.5;0.6699999999999999;0.08999999999999986
SAU;anjou;13/09/1999;1.0;26.0;48.1;62.0;72.07;20.157142857142897;193.1;5.13;3.36;NA;NA;NA
SAU;anjou;20/09/1999;2.0;26.0;32.6;20.0;77.79;16.0428571428571;195.3;4.94;3.16;2.200000000000017;-0.1899999999999995;-0.19999999999999973
SAU;anjou;27/09/1999;3.0;26.0;29.4;45.5;82.36;18.1357142857143;190.8;4.32;2.67;-4.5;-0.6200000000000001;-0.4900000000000002
